suburb,price
LAKES ENTRANCE,512500
LALOR,680000
LANCEFIELD,625000
LANG LANG,707500
LANGWARRIN,835000
LARA,682500
LARA LAKE,710000
LAUNCHING PLACE,650000
LAVERTON,585000
LAVERTON SOUTH,735000
LENEVA,685000
LEONGATHA,580000
LEOPOLD,680000
LILYDALE,926000
LINDENOW,372500
LISMORE,255000
LOCH SPORT,390000
LONG GULLY,400000
LONGWARRY,570000
LORNE,1925000
LOVELY BANKS,690000
LOWER PLENTY,1319000
LUCAS,640000
LUCKNOW,400000
LYNBROOK,814500
LYNDHURST,905000
LYSTERFIELD,1305000
LYSTERFIELD SOUTH,1925500
MACEDON,1105000
MACLEOD,1150000
MADDINGLEY,625000
MAFFRA,425000
MAIDEN GULLY,797500
MAIDSTONE,895000
MALDON,742500
MALLACOOTA,555000
MALMSBURY,767500
MALVERN,3000000
MALVERN EAST,2175000
MAMBOURIN,635000
MANIFOLD HEIGHTS,1050000
MANOR LAKES,645000
MANSFIELD,786000
MARIBYRNONG,1130000
MARLO,655000
MARONG,622500
MARSHALL,610000
MARYBOROUGH,399500
MARYSVILLE,692500
MCCRAE,1312500
MCKENZIE HILL,833000
MCKINNON,2000000
MEADOW HEIGHTS,561000
MELTON,470500
MELTON SOUTH,495000
MELTON WEST,550000
MENTONE,1337500
MENZIES CREEK,876500
MERBEIN,300000
MERINDA PARK,626000
MERNDA,670000
MERRIGUM,272500
METUNG,771000
MICKLEHAM,680000
MIDDLE PARK,2473000
MILDURA,436000
MILL PARK,780000
MILLGROVE,564000
MINERS REST,590000
MINYIP,164500
MIRBOO NORTH,560000
MITCHAM,1210000
MITCHELL PARK,462500
MOE,365000
MONBULK,770000
MONT ALBERT,2384000
MONT ALBERT NORTH,1715000
MONTMORENCY,1120000
MONTROSE,846000
MOONEE PONDS,1527500
MOORABBIN,1300000
MOOROOLBARK,821000
MOOROOPNA,377500
MORDIALLOC,1385000
MORNINGTON,1069500
MORTLAKE,349000
MORWELL,334500
MOUNT BEAUTY,531500
MOUNT CLEAR,525000
MOUNT COTTRELL,602000
MOUNT DANDENONG,887500
MOUNT DUNEED,720000
MOUNT ELIZA,1700000
MOUNT EVELYN,830000
MOUNT HELEN,580000
MOUNT MACEDON,1446000
MOUNT MARTHA,1820000
MOUNT PLEASANT,497500
MOUNT WAVERLEY,1600000
MULGRAVE,1040000
MURCHISON,340000
MURRUMBEENA,1641500
MURTOA,267500
MYRTLEFORD,590000
NAGAMBIE,660000
NARRE WARREN,727000
NARRE WARREN NORTH,1565000
NARRE WARREN SOUTH,820000
NATHALIA,370000
NEERIM SOUTH,665000
NERRINA,685000
NEW GISBORNE,850000
NEWBOROUGH,427000
NEWCOMB,567500
NEWINGTON,664500
NEWLANDS ARM,675000
NEWPORT,1275000
NEWSTEAD,600000
NEWTOWN (GREATER,1165000
NHILL,205000
NICHOLS POINT,590000
NIDDRIE,1189000
NOBLE PARK,732000
NOBLE PARK NORTH,737500
NORLANE,455000
NORTH BENDIGO,515000
NORTH GEELONG,646500
NORTH MELBOURNE,1220000
NORTH WONTHAGGI,625000
NORTHCOTE,1605000
NOTTING HILL,1106000
NUMURKAH,360000
NUNAWADING,1189500
NYAH WEST,248000
OAK PARK,1065000
OAKLEIGH,1336500
OAKLEIGH EAST,1150000
OAKLEIGH SOUTH,1130000
OCEAN GROVE,982500
OFFICER,725500
OFFICER SOUTH,865000
OLINDA,935000
OMEO,339000
ORBOST,340000
ORMOND,1795000
OSBORNE,1030000
OUYEN,184500
PAKENHAM,640000
PARADISE BEACH,372500
PARK ORCHARDS,1740000
PARKDALE,1352000
PARKVILLE,2477000
PASCOE VALE,1025000
PASCOE VALE SOUTH,1140000
PATTERSON GARDENS,1265000
PATTERSON LAKES,1361000
PAYNESVILLE,515000
PEARCEDALE,850000
PENSHURST,286500
PETERBOROUGH,690000
PIONEER BAY,554000
PLENTY,1760000
POINT COOK,770500
POINT LONSDALE,1351500
POREPUNKAH,940000
PORT ALBERT,562500
PORT FAIRY,950000
PORT MELBOURNE,1745000
PORTARLINGTON,925000
PORTLAND,437500
PORTLAND NORTH,750000
PORTSEA,3102500
PRAHRAN,1750000
PRESTON,1150000
PRINCES HILL,1620000
PYRAMID HILL,202500
QUAMBATOOK,125000
QUARRY HILL,596000
QUEENSCLIFF,1687500
RAINBOW,175000
RAYMOND ISLAND,540000
RED CLIFFS,335000
RED HILL,1507500
REDAN,485000
RESEARCH,1030000
RESERVOIR,870000
RHYLL,752500
RICHMOND,1377500
RIDDELLS CREEK,865000
RINGWOOD,999500
RINGWOOD EAST,1000000
RINGWOOD NORTH,1217500
RIPPLESIDE,1050000
RIPPONLEA,1457500
ROBINVALE,355000
ROCHESTER,262500
ROCKBANK,624500
ROMSEY,755000
ROSANNA,1298000
ROSEBUD,747500
ROSEBUD SOUTH,1063500
ROSEDALE,475000
ROWVILLE,1090000
ROXBURGH PARK,632500
RUSHWORTH,367000
RUTHERGLEN,479000
RYE,1098500
SAFETY BEACH,1220500
SAILORS GULLY,469000
SALE,480000
SAN REMO,952500
SANCTUARY LAKES,733500
SANDHURST,1075000
SANDRINGHAM,2100000
SANDY POINT,815000
SASSAFRAS,959000
SCORESBY,955500
SEA LAKE,187500
SEABROOK,741500
SEAFORD,830000
SEAHOLME,1525000
SEASPRAY,465000
SEBASTOPOL,455000
SEDDON,1100000
SELBY,837500
SEVILLE,870000
